id,type,truth,hal_label,QA_ITA,PA_ITA,QA_ITC,PA_ITC,QA_FSA,PA_FSA,QA_FSC,PA_FSC,PA_ITA_ITC,PA_ITA_FSA,PA_ITA_FSC,PA_ITC_FSA,PA_ITC_FSC,PA_FSA_FSC
1,attribute,yes,0,1.0,1.0,0.6363636363636364,0.4909090909090909,1.0,1.0,0.0,1.0,0.6883116883116883,1.0,0.5416666666666666,0.6,0.475,0.4444444444444444
2,object,yes,0,1.0,1.0,0.09090909090909091,0.8181818181818182,1.0,1.0,0.0,1.0,0.4805194805194805,1.0,0.5416666666666666,0.5,0.875,0.4444444444444444
3,object,yes,0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,1.0,1.0,0.7666666666666667,1.0,0.7666666666666667,0.6444444444444445
4,counting,yes,0,1.0,1.0,0.09090909090909091,0.8181818181818182,1.0,1.0,0.2,0.6,0.4805194805194805,1.0,0.6,0.5,0.7666666666666667,0.4666666666666667
5,positional,yes,0,1.0,1.0,0.09090909090909091,0.8181818181818182,1.0,1.0,0.0,1.0,0.4805194805194805,1.0,0.5416666666666666,0.5,0.875,0.4444444444444444
6,attribute,yes,0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.47619047619047616,1.0,0.5416666666666666,0.5416666666666666,1.0,0.4444444444444444
7,counting,yes,0,1.0,1.0,0.9090909090909091,0.8181818181818182,1.0,1.0,0.6,0.4,0.9090909090909091,1.0,0.7666666666666667,0.875,0.675,0.6444444444444445
8,sentiment,yes,0,0.0,1.0,1.0,1.0,0.8,0.6,0.8,0.6,0.47619047619047616,0.6,0.6,0.875,0.875,0.6444444444444445
9,attribute,yes,0,1.0,1.0,0.8181818181818182,0.6727272727272727,1.0,1.0,0.6,0.4,0.8268398268398268,1.0,0.7666666666666667,0.7666666666666667,0.6,0.6444444444444445
10,attribute,yes,0,1.0,1.0,0.6363636363636364,0.4909090909090909,1.0,1.0,0.0,1.0,0.6883116883116883,1.0,0.5416666666666666,0.6,0.475,0.4444444444444444
11,attribute,yes,1,1.0,1.0,0.5454545454545454,0.45454545454545453,0.4,0.4,1.0,1.0,0.6320346320346321,0.675,1.0,0.4666666666666667,0.5416666666666666,0.5333333333333333
12,attribute,yes,0,1.0,1.0,0.18181818181818182,0.6727272727272727,0.6,0.4,0.4,0.4,0.4935064935064935,0.7666666666666667,0.675,0.5416666666666666,0.6,0.4444444444444444
13,object,yes,0,0.0,1.0,1.0,1.0,0.6,0.4,1.0,1.0,0.47619047619047616,0.675,0.5416666666666666,0.7666666666666667,1.0,0.6444444444444445
14,attribute,yes,0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,1.0,0.875,1.0,0.875,0.8
15,attribute,yes,0,0.2727272727272727,0.5636363636363636,0.9090909090909091,0.8181818181818182,0.8,0.6,0.4,0.4,0.4935064935064935,0.475,0.5416666666666666,0.7666666666666667,0.6,0.4666666666666667
16,object,yes,0,1.0,1.0,0.6363636363636364,0.4909090909090909,1.0,1.0,0.6,0.4,0.6883116883116883,1.0,0.7666666666666667,0.6,0.5,0.6444444444444445
17,attribute,yes,0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,0.6,0.47619047619047616,1.0,0.6,0.5416666666666666,0.875,0.4666666666666667
18,positional,yes,0,1.0,1.0,0.36363636363636365,0.4909090909090909,1.0,1.0,0.0,1.0,0.5454545454545454,1.0,0.5416666666666666,0.475,0.6,0.4444444444444444
19,counting,yes,1,0.2727272727272727,0.5636363636363636,0.0,1.0,0.0,1.0,0.6,0.4,0.7532467532467533,0.675,0.5,1.0,0.675,0.5333333333333333
20,counting,yes,0,0.5454545454545454,0.45454545454545453,0.9090909090909091,0.8181818181818182,0.8,0.6,0.2,0.6,0.5844155844155844,0.5,0.475,0.7666666666666667,0.5416666666666666,0.4444444444444444
21,counting,yes,1,0.8181818181818182,0.6727272727272727,0.0,1.0,0.8,0.6,0.0,1.0,0.4935064935064935,0.675,0.475,0.6,1.0,0.4666666666666667
22,positional,yes,0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,1.0,1.0,0.7666666666666667,1.0,0.7666666666666667,0.6444444444444445
23,attribute,yes,1,0.0,1.0,0.0,1.0,0.0,1.0,0.2,0.6,1.0,1.0,0.875,1.0,0.875,0.8
24,sentiment,yes,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
25,positional,yes,1,1.0,1.0,0.8181818181818182,0.6727272727272727,0.2,0.6,1.0,1.0,0.8268398268398268,0.6,1.0,0.5,0.7666666666666667,0.4666666666666667
26,attribute,yes,0,0.7272727272727273,0.5636363636363636,0.09090909090909091,0.8181818181818182,1.0,1.0,0.0,1.0,0.4935064935064935,0.675,0.4666666666666667,0.5,0.875,0.4444444444444444
