id,type,truth,hal_label,QA_ITA,PA_ITA,QA_ITC,PA_ITC,QA_FSA,PA_FSA,QA_FSC,PA_FSC,PA_ITA_ITC,PA_ITA_FSA,PA_ITA_FSC,PA_ITC_FSA,PA_ITC_FSC,PA_FSA_FSC
1,attribute,no,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,object,no,1,0.9090909090909091,0.8181818181818182,1.0,1.0,1.0,1.0,1.0,1.0,0.9090909090909091,0.875,0.875,1.0,1.0,1.0
3,object,no,1,0.2727272727272727,0.5636363636363636,0.6363636363636364,0.4909090909090909,0.2,0.6,0.4,0.4,0.4805194805194805,0.6,0.5416666666666666,0.4666666666666667,0.475,0.5333333333333333
4,counting,no,1,0.45454545454545453,0.45454545454545453,0.2727272727272727,0.5636363636363636,0.8,0.6,0.2,0.6,0.5151515151515151,0.475,0.5,0.475,0.6,0.4444444444444444
5,positional,no,0,0.7272727272727273,0.5636363636363636,0.18181818181818182,0.6727272727272727,1.0,1.0,0.2,0.6,0.4805194805194805,0.675,0.475,0.475,0.675,0.4666666666666667
6,attribute,no,0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,1.0,0.875,1.0,0.875,0.8
7,counting,no,0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,1.0,1.0,0.7666666666666667,1.0,0.7666666666666667,0.6444444444444445
8,sentiment,no,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,attribute,no,0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.8
10,attribute,no,0,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.6727272727272727,1.0,1.0,1.0,1.0,0.7532467532467533,0.875,0.875,0.7666666666666667,0.7666666666666667,1.0
11,attribute,no,0,1.0,1.0,0.36363636363636365,0.4909090909090909,0.8,0.6,0.6,0.4,0.5454545454545454,0.875,0.7666666666666667,0.4666666666666667,0.475,0.5333333333333333
12,attribute,no,0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,1.0,0.875,1.0,0.875,0.8
13,object,no,0,0.5454545454545454,0.45454545454545453,0.0,1.0,0.8,0.6,0.0,1.0,0.5844155844155844,0.5,0.5,0.6,1.0,0.4666666666666667
14,attribute,no,0,1.0,1.0,0.9090909090909091,0.8181818181818182,1.0,1.0,1.0,1.0,0.9090909090909091,1.0,1.0,0.875,0.875,1.0
15,attribute,no,0,1.0,1.0,0.2727272727272727,0.5636363636363636,0.8,0.6,0.6,0.4,0.5151515151515151,0.875,0.7666666666666667,0.475,0.5,0.5333333333333333
16,object,no,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17,attribute,no,0,1.0,1.0,0.0,1.0,1.0,1.0,0.4,0.4,0.47619047619047616,1.0,0.675,0.5416666666666666,0.7666666666666667,0.5333333333333333
18,positional,no,0,0.8181818181818182,0.6727272727272727,0.0,1.0,0.8,0.6,0.0,1.0,0.4935064935064935,0.675,0.475,0.6,1.0,0.4666666666666667
19,counting,no,0,0.7272727272727273,0.5636363636363636,0.45454545454545453,0.45454545454545453,1.0,1.0,0.6,0.4,0.4935064935064935,0.675,0.5416666666666666,0.5,0.4666666666666667,0.6444444444444445
20,counting,no,0,0.7272727272727273,0.5636363636363636,0.8181818181818182,0.6727272727272727,0.2,0.6,1.0,1.0,0.6320346320346321,0.475,0.675,0.5,0.7666666666666667,0.4666666666666667
21,counting,no,1,0.0,1.0,1.0,1.0,0.6,0.4,0.8,0.6,0.47619047619047616,0.675,0.6,0.7666666666666667,0.875,0.5333333333333333
22,positional,no,1,1.0,1.0,1.0,1.0,0.6,0.4,1.0,1.0,1.0,0.7666666666666667,1.0,0.7666666666666667,1.0,0.6444444444444445
23,attribute,no,1,0.6363636363636364,0.4909090909090909,0.6363636363636364,0.4909090909090909,0.6,0.4,0.4,0.4,0.5151515151515151,0.5,0.475,0.5,0.475,0.4444444444444444
24,sentiment,no,0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,1.0,1.0,0.875,1.0,0.875,1.0,0.8
25,positional,no,1,1.0,1.0,1.0,1.0,0.8,0.6,0.8,0.6,1.0,0.875,0.875,0.875,0.875,0.6444444444444445
26,attribute,no,0,0.7272727272727273,0.5636363636363636,0.7272727272727273,0.5636363636363636,1.0,1.0,1.0,1.0,0.5844155844155844,0.675,0.675,0.675,0.675,1.0
27,positional,no,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
28,object,no,0,1.0,1.0,1.0,1.0,0.8,0.6,0.8,0.6,1.0,0.875,0.875,0.875,0.875,0.6444444444444445
30,attribute,no,1,0.7272727272727273,0.5636363636363636,0.7272727272727273,0.5636363636363636,1.0,1.0,1.0,1.0,0.5844155844155844,0.675,0.675,0.675,0.675,1.0
31,object,no,0,1.0,1.0,0.09090909090909091,0.8181818181818182,1.0,1.0,0.8,0.6,0.4805194805194805,1.0,0.875,0.5,0.5416666666666666,0.8
32,sentiment,no,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
34,object,no,1,0.0,1.0,0.45454545454545453,0.45454545454545453,0.2,0.6,0.6,0.4,0.6320346320346321,0.875,0.675,0.5,0.4666666666666667,0.4666666666666667
35,counting,no,1,1.0,1.0,0.7272727272727273,0.5636363636363636,0.8,0.6,0.2,0.6,0.7532467532467533,0.875,0.6,0.6,0.475,0.4444444444444444
36,object,no,0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,1.0,1.0,0.875,1.0,0.875,0.8
37,attribute,no,0,0.6363636363636364,0.4909090909090909,0.09090909090909091,0.8181818181818182,1.0,1.0,0.6,0.4,0.5151515151515151,0.6,0.5,0.5,0.6,0.6444444444444445
